Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
23060290,474.0612106248768,455.71058087912076,539.0660222263327,370.41501406342076
23060370,435.3804398789883,535.7019562875115,390.67413388098015,298.16736433017644
23065060,206.19896329877002,234.76738865596073,176.02849717310917,167.52385045911967
23065070,213.3196673187323,208.71498002706167,202.1324666896118,138.70544226624315
23065100,238.6837592948433,287.2291082579727,185.1045314163257,162.15045737069164
23120190,217.34524106655266,242.41689157910537,187.42216706506392,149.13442839520604
23125070,291.9492311825079,282.51490773020254,295.95521732405535,217.7359719325282
23125150,472.73881960753727,481.2276093801548,416.6426056323213,475.0428749718015
24010020,155.90873466312598,185.46406282365848,126.34145843633327,150.17889970328187
24010070,171.86360515929724,186.69552417327168,160.63717589818282,150.4402484333847
24010140,164.32663287480506,177.55441935079273,140.64535469183735,128.02082302669075
24010270,164.3454481777954,204.87504683670042,131.25180883783398,101.73092780390017
24010280,119.87848468755922,126.11025714647177,79.19424789985072,96.93921802508257
24010300,105.25361408010957,129.6590012118546,97.26929847159444,74.48861254729289
24010350,107.31627195608829,127.36294231287694,104.67082991467343,80.9906426237915
24010390,221.779137975021,184.4360217355294,164.2203329866142,265.69657926327153
24010520,159.51115980652528,139.14593910284648,138.31350580299156,155.6757943912232
24010530,159.5789382513346,189.04830041813716,148.20249378883022,105.88397223995592
24010540,155.01723057147686,103.20765746022961,228.56849480928585,116.26383878105914
24010550,151.9680842046796,189.57171129578626,147.02693789230756,122.87970715988386
24010560,535.8824985553152,363.1473962639206,614.0018972373537,580.1567483203406
24010570,223.90580014396323,190.79126346249382,276.0659196517057,225.4319238658662
24010580,147.47621196843102,119.32731366525817,179.57172947298145,108.58710347673215
24010590,163.70806399515632,154.8866427289379,125.73559178624937,170.89328087113805
24011080,161.69401017724374,186.13253926774752,126.16473880028015,129.59718033730437
24011090,145.55939612553445,170.91204173618877,141.26895306887263,101.4715355230373
24011150,189.12108648064728,235.67169991696016,156.18160095494335,121.65534798274113
24015110,146.0872457385985,162.2832555740762,147.57698987823423,84.48531868785125
24015150,100.01400826623394,106.75791143543228,105.03304674086985,68.62694402942408
24015190,111.05600815427546,106.93912998883945,120.13033258762654,71.33837966265675
24015210,148.62638990438177,152.9607707525504,130.63727101691282,116.15913118168105
35020010,278.9378724854291,327.6095340361708,245.6475283405042,258.0585715409061
35020050,148.72431895394803,139.62163924297667,47.353486269898724,180.90569030567917
35020240,191.5751635375395,204.07380799553752,140.1204778799089,203.39974420173127
35020280,123.24217324907544,94.68117347494511,144.56941899686433,110.36202021029965
35020290,312.5438348488163,288.7332237764122,377.83823086395915,295.14785352397024
35020300,398.782241507228,404.59735845965116,271.9718767197834,462.11462705049456
35020350,231.0710973530085,226.0222061321695,217.47936643366097,237.6700931582603
35020380,242.37518007940525,299.0777121114411,295.5910782703059,145.84444389845928
35020390,171.4291423366012,180.33489082583736,128.53948693751047,156.23789440489358
35020420,142.8459817434679,173.05074978430773,164.33244010491592,97.54839409031695
35025050,233.70421811345327,221.97389400702204,162.67750394578292,268.179971080103
35030010,352.17382805386814,285.3050330962414,483.71924165045607,278.3920870310237
35030020,550.5546051985191,555.822681915195,401.0083195405191,579.6911935428437
35030080,141.38484672626373,167.68230798363751,133.90539453965883,122.47773556318883
35030110,385.7331141815601,423.25827046128364,475.45146107675225,266.57582998713417
35030120,376.40061686256234,360.3269862516342,347.2679169342225,409.27493555171554
35030140,265.65360721010364,218.40986876334762,376.7827550357189,222.98697321506216
35030160,265.79489411594807,222.47414659103615,301.8688019118789,278.9197586063409
35030170,235.71601203266712,258.7168496516296,268.9200013059002,185.5895326688043
35030180,331.15963584457734,449.78338850301685,266.53014005448887,174.2903139937611
35030210,332.62865659361097,422.6098344188039,429.36210987874625,144.03323437200103
35030230,367.3358156453658,318.6724738953461,487.7879918564821,297.629492866001
35030250,478.828548595796,391.1431732877973,492.30922984757024,536.4973713502286
35030260,276.94144493112486,409.1121429614121,142.564104957095,192.2559921080289
35040010,1434.7555707465299,1294.2064958514559,1861.7513379858801,1300.2107740879617
35060020,387.97552297527466,471.1447468931359,224.68401271010785,382.1182938359696
35060050,341.06301627497294,422.45456546337476,282.89678669610163,306.8972135422273
35060090,256.4263294041025,261.48619098558993,302.51984091233464,232.6537814182859
35060100,239.0433353985088,258.05693063983824,236.8921174218234,227.64414636758252
35060120,305.8359107434044,250.91393086556053,326.0118943417082,295.7952585785987
35060130,697.767941064786,997.5534100592876,552.5659588534927,506.7177807297326
35060150,897.3011572482014,922.5763090950547,989.1695000641803,872.0938231000378
35060160,229.96148927158154,237.10659815198215,196.03485560098088,253.40528588306478
35060170,597.2114500700429,658.0351036230475,643.4681368382389,526.5853474277387
35060180,313.4210732285088,309.42186853138145,385.62222537896827,219.4647747625707
35060200,301.761886356277,229.02528558118348,460.07984188517855,242.0942163191087
35060210,258.1122630639971,161.27705544776575,376.5315357201839,232.3891569360281
35060230,257.7129120385711,224.69413012773123,220.54926804767146,274.44727213442263
35060240,287.7432270396374,285.6875161927625,226.10826380117857,333.719916324576
35070110,135.984760808043,144.07087993385866,132.52200160385033,128.5099285348262
35070230,175.6111657960308,181.3255240607905,166.71183556969376,176.98312087959738
35070480,134.82517116665042,133.57536483005987,137.99880707346995,122.69415745422012
35070490,534.1943679225324,543.9490369242567,402.66204757831224,599.3716736015587
